song_id,date_interval_30,plays,downloads,favors
b4e23c8cca36326a787763652bdcfb4f,0,1.0,2.0,0.0
b4e23c8cca36326a787763652bdcfb4f,1,13.0,7.0,0.0
b4e23c8cca36326a787763652bdcfb4f,2,11.0,5.0,0.0
b4e23c8cca36326a787763652bdcfb4f,3,28.0,6.0,1.0
b4e23c8cca36326a787763652bdcfb4f,4,5.0,1.0,0.0
b4e23c8cca36326a787763652bdcfb4f,5,4.0,6.0,0.0
b4e23c8cca36326a787763652bdcfb4f,-1,1.0,1.0,0.0
0e4fc8a9ff1c7f26153fc13b50c91382,0,21.0,3.0,0.0
0e4fc8a9ff1c7f26153fc13b50c91382,1,8.0,6.0,0.0
0e4fc8a9ff1c7f26153fc13b50c91382,2,12.0,5.0,1.0
0e4fc8a9ff1c7f26153fc13b50c91382,3,11.0,7.0,0.0
0e4fc8a9ff1c7f26153fc13b50c91382,4,10.0,5.0,0.0
0e4fc8a9ff1c7f26153fc13b50c91382,5,2.0,0.0,0.0
0e4fc8a9ff1c7f26153fc13b50c91382,-1,12.0,2.0,0.0
9b8428d2cc9b28b2e64e056819ba1b63,0,726.0,123.0,4.0
9b8428d2cc9b28b2e64e056819ba1b63,1,1025.0,149.0,15.0
9b8428d2cc9b28b2e64e056819ba1b63,2,1041.0,124.0,14.0
9b8428d2cc9b28b2e64e056819ba1b63,3,1103.0,112.0,11.0
9b8428d2cc9b28b2e64e056819ba1b63,4,929.0,107.0,14.0
9b8428d2cc9b28b2e64e056819ba1b63,5,566.0,67.0,9.0
9b8428d2cc9b28b2e64e056819ba1b63,-1,252.0,46.0,1.0
65197a88dbe1a88641499600563d97c9,0,1923.0,417.0,8.0
65197a88dbe1a88641499600563d97c9,1,1608.0,273.0,21.0
65197a88dbe1a88641499600563d97c9,2,1541.0,240.0,21.0
65197a88dbe1a88641499600563d97c9,3,1656.0,203.0,20.0
65197a88dbe1a88641499600563d97c9,4,1494.0,252.0,11.0
65197a88dbe1a88641499600563d97c9,5,994.0,161.0,15.0
65197a88dbe1a88641499600563d97c9,-1,808.0,172.0,0.0
6a8340f5ba21dbc009f24a562d345185,0,3.0,0.0,0.0
6a8340f5ba21dbc009f24a562d345185,2,2.0,0.0,0.0
6a8340f5ba21dbc009f24a562d345185,5,1.0,0.0,0.0
fd839c597d9215b4f19bfe2b330349f0,1,1.0,1.0,0.0
fd839c597d9215b4f19bfe2b330349f0,2,1.0,1.0,0.0
fd839c597d9215b4f19bfe2b330349f0,3,2.0,0.0,0.0
fd839c597d9215b4f19bfe2b330349f0,4,2.0,1.0,0.0
fd839c597d9215b4f19bfe2b330349f0,5,1.0,0.0,0.0
fd839c597d9215b4f19bfe2b330349f0,-1,2.0,0.0,0.0
feff57ce1ac7eb2b11485ce0f87df2bc,0,1.0,8.0,0.0
feff57ce1ac7eb2b11485ce0f87df2bc,1,3.0,4.0,0.0
feff57ce1ac7eb2b11485ce0f87df2bc,2,5.0,13.0,0.0
feff57ce1ac7eb2b11485ce0f87df2bc,3,9.0,9.0,0.0
feff57ce1ac7eb2b11485ce0f87df2bc,4,7.0,9.0,0.0
feff57ce1ac7eb2b11485ce0f87df2bc,5,6.0,1.0,0.0
feff57ce1ac7eb2b11485ce0f87df2bc,-1,0.0,2.0,0.0
426905f38b082a8e215ad667198e6081,3,0.0,1.0,0.0
21fca3b5b01e5eb72db3b87ae38a0380,0,14.0,5.0,1.0
21fca3b5b01e5eb72db3b87ae38a0380,1,25.0,5.0,0.0
21fca3b5b01e5eb72db3b87ae38a0380,2,36.0,15.0,0.0
21fca3b5b01e5eb72db3b87ae38a0380,3,44.0,5.0,2.0
21fca3b5b01e5eb72db3b87ae38a0380,4,16.0,4.0,0.0
21fca3b5b01e5eb72db3b87ae38a0380,5,14.0,2.0,1.0
21fca3b5b01e5eb72db3b87ae38a0380,-1,8.0,1.0,0.0
68a2a538ccc1f6408bd799430cd62874,0,2.0,1.0,0.0
68a2a538ccc1f6408bd799430cd62874,1,2.0,3.0,0.0
68a2a538ccc1f6408bd799430cd62874,2,3.0,0.0,0.0
68a2a538ccc1f6408bd799430cd62874,3,8.0,5.0,0.0
68a2a538ccc1f6408bd799430cd62874,4,9.0,4.0,0.0
68a2a538ccc1f6408bd799430cd62874,5,3.0,2.0,0.0
68a2a538ccc1f6408bd799430cd62874,-1,1.0,0.0,0.0
7584f68219cc1af55151971b1de853fe,2,12.0,1.0,0.0
7584f68219cc1af55151971b1de853fe,4,2.0,2.0,0.0
7584f68219cc1af55151971b1de853fe,5,1.0,0.0,0.0
e99fe5dcde8b617e6896948eb38d14c7,0,7.0,1.0,0.0
e99fe5dcde8b617e6896948eb38d14c7,1,6.0,1.0,0.0
e99fe5dcde8b617e6896948eb38d14c7,2,10.0,2.0,0.0
e99fe5dcde8b617e6896948eb38d14c7,3,7.0,2.0,0.0
e99fe5dcde8b617e6896948eb38d14c7,4,3.0,1.0,0.0
e99fe5dcde8b617e6896948eb38d14c7,5,55.0,2.0,1.0
e99fe5dcde8b617e6896948eb38d14c7,-1,2.0,1.0,0.0
c6bf7224fae8ec3aa150355ecb68276e,0,1.0,1.0,0.0
c6bf7224fae8ec3aa150355ecb68276e,1,1.0,1.0,0.0
c6bf7224fae8ec3aa150355ecb68276e,2,1.0,0.0,0.0
c6bf7224fae8ec3aa150355ecb68276e,3,1.0,1.0,0.0
c6bf7224fae8ec3aa150355ecb68276e,4,3.0,1.0,0.0
59d02517c093839d6c518fbe07f8a1ea,0,6.0,3.0,0.0
59d02517c093839d6c518fbe07f8a1ea,1,12.0,3.0,0.0
59d02517c093839d6c518fbe07f8a1ea,2,13.0,4.0,0.0
59d02517c093839d6c518fbe07f8a1ea,3,6.0,3.0,0.0
59d02517c093839d6c518fbe07f8a1ea,4,11.0,2.0,0.0
59d02517c093839d6c518fbe07f8a1ea,5,3.0,0.0,0.0
59d02517c093839d6c518fbe07f8a1ea,-1,3.0,2.0,0.0
c311e18056e7eb80d6f928b56300d4f1,0,85.0,22.0,1.0
c311e18056e7eb80d6f928b56300d4f1,1,77.0,22.0,2.0
c311e18056e7eb80d6f928b56300d4f1,2,87.0,14.0,1.0
c311e18056e7eb80d6f928b56300d4f1,3,65.0,15.0,1.0
c311e18056e7eb80d6f928b56300d4f1,4,121.0,28.0,3.0
c311e18056e7eb80d6f928b56300d4f1,5,57.0,21.0,4.0
c311e18056e7eb80d6f928b56300d4f1,-1,42.0,7.0,0.0
753c13c73a82b98e534642ebc0104877,0,32.0,13.0,0.0
753c13c73a82b98e534642ebc0104877,1,31.0,11.0,0.0
753c13c73a82b98e534642ebc0104877,2,25.0,2.0,0.0
753c13c73a82b98e534642ebc0104877,3,13.0,3.0,0.0
753c13c73a82b98e534642ebc0104877,4,10.0,7.0,0.0
753c13c73a82b98e534642ebc0104877,5,12.0,3.0,0.0
753c13c73a82b98e534642ebc0104877,-1,6.0,2.0,0.0
6e9ed57e7a5c745721306de35b8f0afd,0,1.0,0.0,0.0
6e9ed57e7a5c745721306de35b8f0afd,1,2.0,2.0,0.0
6e9ed57e7a5c745721306de35b8f0afd,2,1.0,2.0,0.0
6e9ed57e7a5c745721306de35b8f0afd,3,3.0,1.0,0.0
6e9ed57e7a5c745721306de35b8f0afd,4,3.0,3.0,0.0
6e9ed57e7a5c745721306de35b8f0afd,5,0.0,1.0,0.0
29aa89be699f56764f1afd7452843054,1,0.0,1.0,0.0
29aa89be699f56764f1afd7452843054,3,2.0,1.0,0.0
29aa89be699f56764f1afd7452843054,4,0.0,2.0,0.0
29aa89be699f56764f1afd7452843054,-1,0.0,1.0,0.0
2b6f4e57819834b2e169b29d7c9f95c5,0,691.0,156.0,5.0
2b6f4e57819834b2e169b29d7c9f95c5,1,981.0,173.0,26.0
2b6f4e57819834b2e169b29d7c9f95c5,2,999.0,192.0,31.0
2b6f4e57819834b2e169b29d7c9f95c5,3,1083.0,151.0,33.0
2b6f4e57819834b2e169b29d7c9f95c5,4,1290.0,164.0,25.0
2b6f4e57819834b2e169b29d7c9f95c5,5,859.0,121.0,23.0
2b6f4e57819834b2e169b29d7c9f95c5,-1,312.0,70.0,0.0
5763a1e9764102c6252fdc691015430a,0,0.0,1.0,0.0
5763a1e9764102c6252fdc691015430a,4,0.0,1.0,0.0
bc938e3480f097d5d646891e6f2154f9,0,8.0,0.0,0.0
bc938e3480f097d5d646891e6f2154f9,1,11.0,3.0,1.0
bc938e3480f097d5d646891e6f2154f9,2,26.0,3.0,0.0
bc938e3480f097d5d646891e6f2154f9,3,14.0,0.0,0.0
bc938e3480f097d5d646891e6f2154f9,4,13.0,2.0,0.0
bc938e3480f097d5d646891e6f2154f9,5,6.0,1.0,0.0
bc938e3480f097d5d646891e6f2154f9,-1,1.0,0.0,0.0
2599c79beeb40a06b2b1403836d19b6a,0,2.0,2.0,0.0
2599c79beeb40a06b2b1403836d19b6a,1,1.0,0.0,0.0
2599c79beeb40a06b2b1403836d19b6a,2,3.0,0.0,0.0
2599c79beeb40a06b2b1403836d19b6a,3,35.0,3.0,2.0
2599c79beeb40a06b2b1403836d19b6a,4,10.0,1.0,0.0
2599c79beeb40a06b2b1403836d19b6a,5,0.0,1.0,0.0
2599c79beeb40a06b2b1403836d19b6a,-1,1.0,1.0,0.0
9a1b5934aa3fc35a9ffc90156c92e92b,0,1.0,0.0,0.0
9a1b5934aa3fc35a9ffc90156c92e92b,3,11.0,3.0,0.0
9a1b5934aa3fc35a9ffc90156c92e92b,4,0.0,4.0,0.0
9a1b5934aa3fc35a9ffc90156c92e92b,5,1.0,1.0,1.0
90b39eeed9e703d8527ee85029dd4922,3,0.0,1.0,0.0
90b39eeed9e703d8527ee85029dd4922,4,0.0,1.0,0.0
15b682b05ddaf11ffb3614bc13619707,0,889.0,81.0,9.0
15b682b05ddaf11ffb3614bc13619707,1,925.0,148.0,15.0
15b682b05ddaf11ffb3614bc13619707,2,652.0,50.0,10.0
15b682b05ddaf11ffb3614bc13619707,3,757.0,90.0,12.0
15b682b05ddaf11ffb3614bc13619707,4,650.0,63.0,12.0
15b682b05ddaf11ffb3614bc13619707,5,498.0,46.0,6.0
15b682b05ddaf11ffb3614bc13619707,-1,434.0,33.0,0.0
db3d0aa9a646aca944c3d3b84b6fd848,0,2.0,1.0,0.0
db3d0aa9a646aca944c3d3b84b6fd848,2,2.0,2.0,0.0
